iter	Passed	Remaining
0	8	792
1	15	768
2	27	886
3	35	849
4	44	840
5	53	841
6	65	876
7	76	879
8	84	855
9	94	854
10	100	813
11	111	819
12	117	784
13	126	779
14	135	767
15	146	767
16	154	754
17	165	755
18	175	748
19	183	733
20	193	726
21	201	713
22	210	706
23	218	693
24	228	685
25	236	674
26	246	665
27	255	657
28	265	649
29	274	641
30	280	624
31	290	617
32	298	606
33	308	598
34	316	587
35	326	579
36	334	569
37	343	561
38	353	552
39	361	542
40	371	534
41	380	525
42	391	519
43	402	512
44	410	501
45	420	493
46	425	479
47	433	469
48	442	460
49	452	452
50	460	442
51	470	433
52	479	425
53	489	417
54	497	407
55	507	398
56	516	389
57	524	379
58	534	371
59	542	361
60	552	353
61	560	343
62	571	335
63	579	326
64	589	317
65	598	308
66	607	299
67	616	290
68	625	280
69	635	272
70	643	262
71	653	254
72	661	244
73	671	235
74	679	226
75	690	217
76	699	209
77	707	199
78	717	190
79	725	181
80	735	172
81	743	163
82	753	154
83	761	145
84	770	136
85	780	127
86	791	118
87	801	109
88	809	100
89	818	90
90	827	81
91	836	72
92	848	63
93	856	54
94	866	45
95	874	36
96	886	27
97	895	18
98	903	9
99	913	0
